Accessions,strain,date,date_released,date_updated,region,country,location,length,host,is_lab_host,sra_accessions,authors,full_authors,institution,submitter_country,sample_type,url,accession_base,country_clean,host_clean,year,sample_type_clean,analysis_note,exact_duplicate_of,keep_for_main_country_tree
PP981674,NiV/human/BGD/FP0260922/2022,3/16/2022,2024-07-12,2024-07-12,Asia,Bangladesh,Rajbari,18077,Homo sapiens,False,,Rahman et al.,"Rahman,M.M.,Miah,M.,Rahman,S.,Rahman,D.I.,Rahman,M.W.,Hossain,M.E.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.","icddr, b, One Health Laboratory",Bangladesh,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/PP981674,PP981674,Bangladesh,Human,2022,oronasopharynx,,,True
PP981675,NiV/human/BGD/RS0560822/2022,3/24/2022,2024-07-12,2024-07-12,Asia,Bangladesh,Naogaon (Rajshahi),18096,Homo sapiens,False,,Rahman et al.,"Rahman,M.M.,Miah,M.,Rahman,S.,Rahman,D.I.,Rahman,M.W.,Hossain,M.E.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.","icddr, b, One Health Laboratory",Bangladesh,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/PP981675,PP981675,Bangladesh,Human,2022,oronasopharynx,,,True
PP981676,NiV/human/BGD/RS0644723/2023,1/3/2023,2024-07-12,2024-07-12,Asia,Bangladesh,,18092,Homo sapiens,False,,Rahman et al.,"Rahman,M.M.,Miah,M.,Rahman,S.,Rahman,D.I.,Rahman,M.W.,Hossain,M.E.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.","icddr, b, One Health Laboratory",Bangladesh,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/PP981676,PP981676,Bangladesh,Human,2023,oronasopharynx,,,True
PP981677,NiV/human/BGD/NINS00123/2023,1/15/2023,2024-07-12,2024-07-12,Asia,Bangladesh,Naogaon (Rajshahi),18091,Homo sapiens,False,,Rahman et al.,"Rahman,M.M.,Miah,M.,Rahman,S.,Rahman,D.I.,Rahman,M.W.,Hossain,M.E.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.","icddr, b, One Health Laboratory",Bangladesh,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/PP981677,PP981677,Bangladesh,Human,2023,oronasopharynx,,,True
PP981678,NiV/human/BGD/FP0298523/2023,1/19/2023,2024-07-12,2024-07-12,Asia,Bangladesh,Rajbari,18091,Homo sapiens,False,,Rahman et al.,"Rahman,M.M.,Miah,M.,Rahman,S.,Rahman,D.I.,Rahman,M.W.,Hossain,M.E.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.","icddr, b, One Health Laboratory",Bangladesh,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/PP981678,PP981678,Bangladesh,Human,2023,oronasopharynx,,,True
PP981679,NiV/human/BGD/FP0298923/2023,1/19/2023,2024-07-12,2024-07-12,Asia,Bangladesh,Rajbari,18107,Homo sapiens,False,,Rahman et al.,"Rahman,M.M.,Miah,M.,Rahman,S.,Rahman,D.I.,Rahman,M.W.,Hossain,M.E.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.","icddr, b, One Health Laboratory",Bangladesh,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/PP981679,PP981679,Bangladesh,Human,2023,oronasopharynx,,,True
PP981680,NiV/human/BGD/RS0649923/2023,1/22/2023,2024-07-12,2024-07-12,Asia,Bangladesh,Pabna,18088,Homo sapiens,False,,Rahman et al.,"Rahman,M.M.,Miah,M.,Rahman,S.,Rahman,D.I.,Rahman,M.W.,Hossain,M.E.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.","icddr, b, One Health Laboratory",Bangladesh,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/PP981680,PP981680,Bangladesh,Human,2023,oronasopharynx,,,True
PP981681,NiV/human/BGD/FP0300923/2023,1/28/2023,2024-07-12,2024-07-12,Asia,Bangladesh,Rajbari,18090,Homo sapiens,False,,Rahman et al.,"Rahman,M.M.,Miah,M.,Rahman,S.,Rahman,D.I.,Rahman,M.W.,Hossain,M.E.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.","icddr, b, One Health Laboratory",Bangladesh,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/PP981681,PP981681,Bangladesh,Human,2023,oronasopharynx,,,True
PP981682,NiV/human/BGD/RS0652823/2023,1/29/2023,2024-07-12,2024-07-12,Asia,Bangladesh,Natore,18090,Homo sapiens,False,,Rahman et al.,"Rahman,M.M.,Miah,M.,Rahman,S.,Rahman,D.I.,Rahman,M.W.,Hossain,M.E.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.","icddr, b, One Health Laboratory",Bangladesh,blood,https://www.ncbi.nlm.nih.gov/nuccore/PP981682,PP981682,Bangladesh,Human,2023,blood,,,True
PP981683,NiV/human/BGD/FP0302023/2023,1/30/2023,2024-07-12,2024-07-12,Asia,Bangladesh,Rajbari,18090,Homo sapiens,False,,Rahman et al.,"Rahman,M.M.,Miah,M.,Rahman,S.,Rahman,D.I.,Rahman,M.W.,Hossain,M.E.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.","icddr, b, One Health Laboratory",Bangladesh,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/PP981683,PP981683,Bangladesh,Human,2023,oronasopharynx,,,True
PP981684,NiV/human/BGD/DMCH00523/2023,2/12/2023,2024-07-12,2024-07-12,Asia,Bangladesh,,18087,Homo sapiens,False,,Rahman et al.,"Rahman,M.M.,Miah,M.,Rahman,S.,Rahman,D.I.,Rahman,M.W.,Hossain,M.E.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.","icddr, b, One Health Laboratory",Bangladesh,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/PP981684,PP981684,Bangladesh,Human,2023,oronasopharynx,,,True
PQ368168,NiV/human/BGD/NINS00123U/2023,1/22/2023,2024-11-09,2024-11-09,Asia,Bangladesh,Naogaon (Rajshahi),18090,Homo sapiens,False,,Rahman et al.,"Rahman,M.M.,Miah,M.,Hossain,M.E.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,D.I.,Rahman,S.,Rahman,M.W.,Rahman,M.Z.","Icddr, B, One Health Laboratory",Bangladesh,urine,https://www.ncbi.nlm.nih.gov/nuccore/PQ368168,PQ368168,Bangladesh,Human,2023,urine,,,True
PQ368169,NiV/human/BGD/FP0300923BM/2023,2/1/2023,2024-11-09,2024-11-09,Asia,Bangladesh,Rajbari,18107,Homo sapiens,False,,Rahman et al.,"Rahman,M.M.,Miah,M.,Hossain,M.E.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,D.I.,Rahman,S.,Rahman,M.W.,Rahman,M.Z.","Icddr, B, One Health Laboratory",Bangladesh,mammalian milk,https://www.ncbi.nlm.nih.gov/nuccore/PQ368169,PQ368169,Bangladesh,Human,2023,mammalian milk,,,True
PQ368170,NiV/Bat/BGD/J106/2012,1/28/2012,2024-11-09,2024-11-09,Asia,Bangladesh,Joypurhat,18090,Chiroptera,False,,Rahman et al.,"Rahman,M.M.,Miah,M.,Hossain,M.E.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,D.I.,Rahman,S.,Rahman,M.W.,Rahman,M.Z.","Icddr, B, One Health Laboratory",Bangladesh,,https://www.ncbi.nlm.nih.gov/nuccore/PQ368170,PQ368170,Bangladesh,Bat,2012,Unknown,,,True
PQ463988,NiV_M_IRF523,1998-XX-XX,2024-11-09,2024-11-09,Asia,Malaysia,,18131,Homo sapiens,True,,Peng et al.,"Peng,L.,Hirsch,S.,Kocher,G.,Mehta,M.,Holbrook,M.","NIH/NIAID, IRF",USA,,https://www.ncbi.nlm.nih.gov/nuccore/PQ463988,PQ463988,Malaysia,Human,1998,Unknown,,,True
PV132706,NiV/human/BGD/DMCH00124/2024,1/30/2024,2025-03-12,2025-03-12,Asia,Bangladesh,Shariatpur,18133,Homo sapiens,False,,Rahman et al.,"Rahman,M.M.,Rahim,S.,Rahman,S.,Hossain,M.E.,Rahman,D.I.,Rahman,M.W.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.","ICDDR, B, One Health Laboratory",Bangladesh,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/PV132706,PV132706,Bangladesh,Human,2024,oronasopharynx,,,True
PV132707,NiV/human/BGD/PMSKH0000424/2024,3/17/2024,2025-03-12,2025-03-12,Asia,Bangladesh,,18128,Homo sapiens,False,,Rahman et al.,"Rahman,M.M.,Rahim,S.,Rahman,S.,Hossain,M.E.,Rahman,D.I.,Rahman,M.W.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.","ICDDR, B, One Health Laboratory",Bangladesh,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/PV132707,PV132707,Bangladesh,Human,2024,oronasopharynx,,,True
PV640869,MCL-25-H-2892,2025-05-XX,2025-11-30,2025-11-30,Asia,India,,18168,Homo sapiens,False,,Yadav et al.,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,,https://www.ncbi.nlm.nih.gov/nuccore/PV640869,PV640869,India,Human,2025,Unknown,,,True
PV892943,810398,XXXX-XX-XX,2025-07-23,2025-07-23,Asia,Bangladesh,,18096,,False,,Mehta et al.,"Mehta,M.,Peng,L.,Kocher,G.,Holbrook,M.,Hirsch,S.","NIAID, NIH, Integrated Research Facility",USA,,https://www.ncbi.nlm.nih.gov/nuccore/PV892943,PV892943,Bangladesh,Unknown,,Unknown,,,True
PX130164,NiV/human/BGD/RS0825725/2025,1/28/2025,2025-08-24,2025-08-24,Asia,Bangladesh,Pabna,18126,Homo sapiens,False,,Rahman et al.,"Rahman,M.M.,Rahim,S.,Rahman,S.,Hossain,M.E.,Rahman,D.I.,Rahman,M.W.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.","icddr, b, One Health Laboratory",Bangladesh,blood,https://www.ncbi.nlm.nih.gov/nuccore/PX130164,PX130164,Bangladesh,Human,2025,blood,,,True
PX130165,NiV/human/BGD/SB0200425/2025,2/20/2025,2025-08-24,2025-08-24,Asia,Bangladesh,Bhola,18128,Homo sapiens,False,,Rahman et al.,"Rahman,M.M.,Rahim,S.,Rahman,S.,Hossain,M.E.,Rahman,D.I.,Rahman,M.W.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.","icddr, b, One Health Laboratory",Bangladesh,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/PX130165,PX130165,Bangladesh,Human,2025,oronasopharynx,,,True
PX130166,NiV/human/BGD/FP0372425/2025,2/25/2025,2025-08-24,2025-08-24,Asia,Bangladesh,Chuadanga,18124,Homo sapiens,False,,Rahman et al.,"Rahman,M.M.,Rahim,S.,Rahman,S.,Hossain,M.E.,Rahman,D.I.,Rahman,M.W.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.","icddr, b, One Health Laboratory",Bangladesh,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/PX130166,PX130166,Bangladesh,Human,2025,oronasopharynx,,,True
